url,source,statut,nb_mots,score_pertinence,date
https://www.larenaissancehebdo.fr/actualite-36422-la-clayette-ils-ouvrent-une-double-boutique-speciale-bijoux-et-tattoo,larenaissancehebdo.fr,retenu,422,4,2024-10-29
https://www.lefigaro.fr/faits-divers/disparues-de-l-a6-un-troisieme-homme-mis-en-examen-pour-l-un-des-meurtres-20241010,Le Figaro,hors_sujet,447,0,2024-10-10
https://www.ohmymag.com/news/faits-divers/feminicide-a-bruxelles-mort-d-une-femme-et-ses-enfants-dont-un-bebe-le-compagnon-arrete_art167239.html,Ohmymag,hors_sujet,607,0,2024-11-18
https://www.cesoirtv.com/news/actu/2738-jean-marc-reiser-le-macabre-mode-operatoire-de-celui-qui-a-ete-reconnu-coupable-de-la-mort-et-du-demembrement-de-sophie-le-tan/,CesoirTV,hors_sujet,461,0,2026-03-15
https://www.cesoirtv.com/news/actu/2465-frederic-lepoint-reconnu-coupable-du-meurtre-de-sa-femme-aline-thirion-ce-cambriolage-qu-il-a-mis-en-scene-pour-mettre-sur-une-fausse-piste/,CesoirTV,hors_sujet,443,0,2025-06-21
https://www.lejsl.com/societe/2025/03/13/ce-soir-sur-france-3-bourgogne-retour-sur-le-proces-historique-de-valerie-bacot-et-ses-repercussions-nationales,Le JSL,retenu,152,5,2025-03-13
https://www.lefigaro.fr/faits-divers/saone-et-loire-une-femme-tuee-en-pleine-rue-le-tireur-recherche-20250512,Le Figaro,hors_sujet,280,0,2025-05-12
https://www.telerama.fr/theatre-spectacles/sylvie-testud-depuis-que-j-ai-lu-la-verite-je-me-demande-quel-type-de-menteuse-je-suis-7024334.php,Télérama,hors_sujet,177,0,2025-02-13
https://www.cesoirtv.com/news/actu/3493-danielle-ritorto-la-meurtriere-de-la-riche-retraitee-etait-son-auxiliaire-de-vie/,CesoirTV,hors_sujet,536,0,2026-03-14
https://tribunedelyon.fr/sorties/festivals/moins-de-16-ans-sabstenir-les-chiens-de-navarre-sattaquent-au-viol-conjugal/,Tribune de Lyon,erreur,0,0,
https://www.femmeactuelle.fr/actu/news-actu/cest-parfaitement-faux-les-avocats-de-salah-abdeslam-dementent-une-rumeur-sur-le-terroriste-2189283,Femme Actuelle,hors_sujet,335,0,2025-03-11
https://www.lefigaro.fr/faits-divers/macon-un-blesse-grave-et-six-blesses-legers-apres-une-importante-rixe-nocturne-20250629,Le Figaro,hors_sujet,389,0,2025-06-29
https://madame.lefigaro.fr/celebrites/culture/qui-etait-valtesse-de-la-bigne-la-courtisane-ambitieuse-qui-a-inspire-la-nana-de-zola-20250124,Madame Figaro,hors_sujet,611,0,2025-01-24
https://www.franceinfo.fr/content/4904541/embed/,franceinfo,erreur,0,0,
https://www.larenaissancehebdo.fr/actualite-51757-television-faites-entrer-l-accuse-revient-sur-l-affaire-valerie-bacot-voici-la-date-de-diffusion,larenaissancehebdo.fr,retenu,429,5,2026-06-08
https://www.tf1.fr/novo19/valerie-bacot-pourquoi-jai-tue-mon-mari/videos,TF1+,trop_court,8,0,2026-01-12
https://www.sudouest.fr/justice/valerie-bacot-la-nouvelle-jacqueline-sauvage-jugee-pour-avoir-tue-son-mari-proxenete-3815118.php,Sud Ouest,retenu,540,5,2021-06-18
https://www.reforme.net/actualites/comment-en-finir-avec-les-feminicides/,reforme.net,hors_sujet,168,0,2021-07-12
https://www.bfmtv.com/police-justice/me-nathalie-tomasini-avocate-de-valerie-bacot-je-suis-tres-satisfaite-car-l-objectif-premier-etait-que-valerie-ne-retourne-pas-en-prison_VN-202106250457.html,BFM,trop_court,77,0,2021-06-25
https://www.tf1info.fr/justice-faits-divers/video-c-est-une-immense-victoire-affirme-me-tomasini-l-avocate-de-valerie-bacot-2189853.html,TF1 Info,retenu,450,3,2021-06-25
https://www.lamontagne.fr/moulins-03000/actualites/que-propose-lavocate-nathalie-tomasini-qui-a-defendu-jacqueline-sauvage-pour-faire-avancer-la-cause-des-femmes-battues_14413374/,La Montagne,erreur,0,0,
https://news.google.com/rss/articles/CBMie0FVX3lxTFAyS09wZlE2Y0hoQU9pQk0wWGt1Tm4yNlJ3NGsxVWFjRE42YkNKSGl6eWNMS2RNbHNFZ0t1MDNLZUFmZmNranBDeklibU9SaUFxVGNLeDJOb3p2WWZiNFpJdUJ5THM3UEY2dWJTLXZXZG5hNXJwMXk5VTR0MA?oc=5,Midi Libre,hors_sujet,627,0,2026-06-09
https://news.google.com/rss/articles/CBMi8gFBVV95cUxQLUtHZDN1bk9ZZ1EtTTgzYi1QWG0tVVQ2bjlTZVo2T0xLcHhfUHdZUDREamZVNjNDUnJxeS1KSmhQLUZGWkIxWEk0N25QWlV6RDEyc3h1djIxY0xXX3dYTGp2Q0Z2VEJBeEFucnR1LVc2ZEZCUm90dk5nWjRIcjM1a2RCZ3lHY3NNblhMcVZFQXdoTVpNVTNMSnU5R0lXY1Q2aFZsclZfaGYxOU1VZ3V4Zk0wT3ZIWngyM0Y0cmZhQjUzeUxLRmJrTXdqQ2VwNUhrSWp4OTJLNWU2QXl1OW82enZnb185Znl5eUpLckp3Zl9idw?oc=5,Libération,hors_sujet,627,0,2026-06-09
