url,title,author,date,sitename,query_trigger,word_count,scraped_at
https://www.lejsl.com/societe/2023/09/20/valerie-bacot-decoree-de-la-medaille-de-la-delegation-aux-droits-des-femmes,Saône-et-Loire. Valérie Bacot décorée de la médaille de la délégation aux droits des femmes,T J,2023-09-20,,Valérie Bacot,243,2026-05-28T14:17:22.786843
https://www.sudouest.fr/proces-de-valerie-bacot-les-enfants-defendent-leur-mere-3874367.php,"Procès de Valérie Bacot, qui a tué son mari bourreau : les enfants défendent leur mère",Sudouest fr,2021-06-22,,Valérie Bacot,349,2026-05-28T14:17:26.371076
https://france3-regions.franceinfo.fr/bourgogne-franche-comte/saone-et-loire/chalon-sur-saone/valerie-bacot-les-10-personnalites-phares-du-proces-2152939.html,Valérie Bacot : les 10 personnalités phares du procès,Gaël Simon,2021-06-26,,Valérie Bacot,2044,2026-05-28T14:17:29.116217
https://www.lejsl.com/faits-divers-justice/2021/01/08/une-petition-en-faveur-de-valerie-bacot-depasse-les-55-000-signatures-en-moins-d-une-semaine,Crime de La Clayette. Une pétition en faveur de Valérie Bacot dépasse les 55 000 signatures en moins d'une semaine,Le Journal de Saône et Loire,2021-01-08,,Valérie Bacot,303,2026-05-28T14:17:36.395472
https://www.cesoirtv.com/news/actu/420-valerie-bacot-que-devient-celle-qui-a-ete-reconnue-coupable-du-meurtre-de-son-mari-daniel-polette-mais-qui-est-sortie-libre-de-son-proces/,Valérie Bacot : Que devient celle qui a été reconnue coupable du meurtre de son mari Daniel Polette mais qui est sortie libre de son procès ? - TV Grandes chaînes,Thomas Fourcroy,2025-11-23,,Valérie Bacot,518,2026-05-28T14:17:40.248583
https://www.elle.fr/Societe/News/Valerie-Bacot-liberee-a-la-fin-de-son-proces-loin-des-passions-outragees-3933985,"Valérie Bacot libre à la fin de son procès, loin des passions outragées - Elle",Catherine Robin,2021-06-26,,Valérie Bacot,212,2026-05-28T14:17:44.805721
https://www.lejsl.com/faits-divers-justice/2021/06/22/les-avocates-de-valerie-bacot-assignent-l-etat-en-justice,Justice. Une avocate de Valérie Bacot assigne l'Etat en justice,Richard Montavon,2021-06-22,,Valérie Bacot,215,2026-05-28T14:17:53.187513
https://www.tf1info.fr/justice-faits-divers/video-proces-de-valerie-bacot-un-verdict-qui-la-reconnait-a-la-fois-coupable-et-victime-2189888.html,Procès de Valérie Bacot : un verdict qui la reconnaît à la fois coupable et victime | TF1 Info,La rédaction de TF,2021-06-26,,Valérie Bacot,210,2026-05-28T14:17:56.054346
https://www.bfmtv.com/replay-emissions/120-pourcent-news/proces-valerie-bacot-les-enfants-racontent-la-violence-de-leur-pere-22-06_VN-202106220468.html,Procès Valérie Bacot: les enfants racontent la violence de leur père - 22/06,,2021-06-22,,Valérie Bacot,100,2026-05-28T14:17:58.423329
https://www.tf1info.fr/justice-faits-divers/video-replay-tf1-victime-et-coupable-le-proces-de-valerie-bacot-sous-l-oeil-de-sept-a-huit-2190013.html,"VIDÉO - Victime et coupable : ""Sept à Huit"" au cœur du procès de Valérie Bacot | TF1 Info",V F,2021-06-29,,Valérie Bacot,1465,2026-05-28T14:18:09.706264
https://www.ici.fr/infos/faits-divers-justice/valerie-bacot-jugee-pour-avoir-tue-son-mari-et-ex-beau-pere-qui-la-violait-et-la-prostituait-1624216036,"Valérie Bacot, jugée pour avoir tué son mari et ex-beau père, qui la violait et la prostituait - ICI",Adrien Beria,2021-06-20,,Valérie Bacot,716,2026-05-28T14:18:16.183192
https://www.lefigaro.fr/faits-divers/rejet-du-recours-contre-l-etat-de-valerie-bacot-victime-d-un-mari-violeur-et-proxenete-20221109,"Rejet du recours contre l'État de Valérie Bacot, victime d'un mari violeur et proxénète",Le Figaro avec AFP,2022-11-09,,Valérie Bacot procès,507,2026-05-28T14:18:21.937883
https://www.ladepeche.fr/2021/06/26/proces-de-valerie-bacot-pour-ses-avocates-cest-un-verdict-de-clemence-qui-fera-date-9633291.php,"Procès de Valérie Bacot : pour ses avocates c'est un ""verdict de clémence"" qui ""fera date""",La Dépêche du Midi,2021-06-26,,Valérie Bacot procès,499,2026-05-28T14:18:28.231921
https://france3-regions.franceinfo.fr/bourgogne-franche-comte/saone-et-loire/chalon-sur-saone/direct-valerie-bacot-femme-battue-qui-a-tue-son-mari-le-proces-commence-aux-assises-de-saone-et-loire-2142121.html,"Valérie Bacot : ""je voulais nous protéger de lui"", explique lors de son procès celle qui a tué son mari violent",Gaël Simon,2021-06-21,,Valérie Bacot procès,3523,2026-05-28T14:18:30.995427
https://www.franceinfo.fr/faits-divers/justice-proces/proces-de-valerie-bacot/valerie-bacot-reconnue-coupable-mais-libre-a-l-issue-de-son-proces_4679427.html,"Procès de Valérie Bacot : libre, elle se dit ""vidée mentalement et physiquement""",France 2,2021-06-26,,Valérie Bacot procès,611,2026-05-28T14:18:36.864135
https://www.lefigaro.fr/faits-divers/proces-de-valerie-bacot-cinq-ans-de-prison-dont-quatre-avec-sursis-reclames-contre-l-accusee-20210625,"Procès de Valérie Bacot : l'accusée condamnée à quatre ans de prison, dont trois avec sursis",Aude Bariéty de Lagarde,2021-06-25,,Valérie Bacot procès,221,2026-05-28T14:18:42.801939
https://www.tf1.fr/tmc/quotidien-avec-yann-barthes/videos/proces-valerie-bacot-cest-le-symbole-de-ces-femmes-quon-ne-voit-pas-souffrir-le-martyre-58238897.html,"Procès Valérie Bacot : ""C’est le symbole de ces femmes qu’on ne voit pas souffrir le martyre"" - Quotidien | TF1+",,2021-06-23,,Valérie Bacot procès,351,2026-05-28T14:18:45.938601
