url,titre,auteur,date,sitename,type_doc,source_type,word_count,video_url
https://www.franceinfo.fr/faits-divers/justice-proces/proces-de-valerie-bacot-ma-mere-est-non-coupable-clament-ses-enfants-au-deuxieme-jour-du-proces_4674575.html,"Procès de Valérie Bacot : ""Elle est non coupable"", clament ses enfants au deuxième jour du procès",Franceinfo Avec Afp,2021-06-22,,article,,741,
https://www.rtl.fr/actu/justice-faits-divers/proces-de-valerie-bacot-j-ai-ete-naive-confie-sa-mere-a-la-barre-7900048715,"Procès de Valérie Bacot : ""J'ai été naïve"", confie sa mère à la barre",La rédaction numérique de RTL,2021-06-23,,article,,492,
https://www.tf1info.fr/justice-faits-divers/proces-de-valerie-bacot-la-partie-civile-reclame-une-condamnation-pour-l-exemple-2189758.html,Procès de Valérie Bacot : la partie civile réclame une condamnation pour l’exemple | TF1 Info,J V,2021-06-25,,article,,420,
https://www.bfmtv.com/societe/le-temoignage-glacant-de-valerie-bacot-victime-de-violences-conjugales_AN-202105260005.html,"Le témoignage glaçant de Valérie Bacot, victime de violences conjugales",Céline Hussonnois-Alaya,2021-05-26,,article,,556,
https://www.lefigaro.fr/faits-divers/notre-mere-nous-a-dit-qu-elle-avait-tue-notre-pere-au-proces-bacot-les-enfants-de-l-accusee-et-de-la-victime-a-la-barre-20210622,"«Notre mère nous a dit qu'elle avait tué notre père» : au procès Bacot, les enfants de l'accusée et de la victime à la barre",Aude Bariéty de Lagarde,2021-06-22,,article,,920,
https://www.franceinfo.fr/faits-divers/justice-proces/proces-de-valerie-bacot-cinq-ans-de-prison-requis-dont-quatre-avec-sursis-contre-cette-femme-qui-a-tue-son-mari-violent-et-proxenete_4677797.html,"Procès de Valérie Bacot : cinq ans de prison requis, dont quatre avec sursis, contre cette femme qui a tué son mari violent et proxénète",Franceinfo Avec Afp,2021-06-25,,article,,665,
https://www.parismatch.com/Actu/Societe/L-avocat-general-requiert-la-clemence-forte-emotion-au-proces-de-Valerie-Bacot-1744528,L'avocat général requiert la clémence : forte émotion au procès de Valérie Bacot,La Rédaction; Avec Afp,2021-06-25,,article,,712,
https://www.ici.fr/emissions/la-scene-culture/tout-le-monde-savait-avec-sylvie-testud-l-histoire-de-valerie-bacot-mise-en-scene,"“Tout le monde savait” avec Sylvie Testud, l’histoire de Valérie Bacot mise en scène - ICI",David Lantin,2022-10-27,,article,,473,
https://www.tf1info.fr/justice-faits-divers/video-condamnee-pour-l-assassinat-de-son-mari-violent-valerie-bacot-ne-retournera-pas-en-prison-2189870.html,"Condamnée pour l'assassinat de son mari violent, Valérie Bacot ne retournera pas en prison | TF1 Info",La rédaction de TF,2021-06-25,,article,,167,
https://www.lejsl.com/faits-divers-justice/2021/06/25/proces-de-valerie-bacot-l-heure-du-verdict,"Justice. Valérie Bacot libre : ""Un nouveau combat maintenant, pour toutes les autres femmes""",Jim GASSMANN,2021-06-25,,article,,960,
"https://television.telerama.fr/tele/programmes-tv/valerie-bacot-pourquoi-jai-tue-mon-mari,192564444.php",Valérie Bacot : pourquoi j'ai tué mon mari,,2016-03-13,,article,,147,
https://www.franceinfo.fr/faits-divers/justice-proces/proces-de-valerie-bacot/proces-de-valerie-bacot-son-avocate-reclame-l-acquittement-de-cette-femme-qui-a-tue-son-mari-violent-et-proxenete_4678089.html,"Valérie Bacot, condamnée à quatre ans de prison dont trois avec sursis pour l'assassinat de son mari violent, ressort libre",Franceinfo Avec Afp,2021-06-25,,article,,800,
https://www.lefigaro.fr/faits-divers/proces-bacot-dans-cette-histoire-il-n-y-a-rien-qui-va-du-debut-a-la-fin-20210621,"Procès Bacot : «Dans cette histoire, il n'y a rien qui va, du début à la fin»",Aude Bariéty de Lagarde,2021-06-21,,article,,1153,
https://www.bfmtv.com/societe/affaire-valerie-bacot-accusee-d-avoir-tue-son-mari-violent-personne-ne-lui-a-tendu-la-main_AN-202101210006.html,"Affaire Valérie Bacot, accusée d'avoir tué son mari violent: ""Personne ne lui a tendu la main""",Céline Hussonnois-Alaya,2021-01-21,,article,,451,
https://www.senat.fr/rap/r22-933/r22-933_mono.html,Cérémonie de remise du Prix 2023 de la délégation aux droits des femmes - 19 septembre 2023 - Sénat,,2023-09-27,,article,,7618,
https://www.marianne.net/societe/police-et-justice/valerie-bacot-jugee-pour-lassassinat-de-son-mari-600-000-francais-reclament-sa-liberte,Valérie Bacot jugée pour l'assassinat de son mari : 600 000 Français réclament sa liberté,Magazine Marianne,2021-06-22,,article,,661,
https://france3-regions.franceinfo.fr/bourgogne-franche-comte/saone-et-loire/chalon-sur-saone/violee-frappee-prostituee-valerie-bacot-24-ans-sous-emprise-jusqu-a-tuer-son-mari-2126245.html,"Violée, frappée, prostituée : Valérie Bacot, 24 ans sous emprise jusqu'à tuer son mari",Gaël Simon,2021-06-12,,article,,1654,
